# filename='u/bio.u'
# filename='u/chimei.u'
# filename='u/computer.u'
# filename='u/jinmei.u'
# filename='u/kihon.u'
# filename='u/koyuu.u'
# filename='u/setsuji.u'
# filename='u/tankan.u'
# filename='u/supplement.u'
# filename='u/g-jinmei.u'
# filename='others.u'
々 のま
# 使い分け
# 使い切っ
# 使い切ら
# 使い切り
# 使い切る
# 使い切れ
# 使い切ろ
使い勝手 つかいがって
# 使い古さ
# 使い古し
# 使い古す
# 使い古せ
# 使い古そ
# 使い回さ
# 使い回し
# 使い回す
# 使い回せ
# 使い回そ
# 使い始め
# 使い心地
# 使い慣れ
# 使い捨て
# 使い方
# 使い易
# 使い果たさ
# 使い果たし
# 使い果たす
# 使い果たせ
# 使い果たそ
# 使い物
使い走り つかいばしり
# 使い込ま
# 使い込み
# 使い込む
# 使い込め
# 使い込も
# 使い込ん
# 使い途
# 使い道
# 使い難
使う つかう
使え つかえ
使お つかお
使っ つかっ
使わ つかわ
# 使われださ
# 使われだし
# 使われだす
# 使われだせ
# 使われだそ
# 使われ出さ
# 使われ出し
# 使われ出す
# 使われ出せ
# 使われ出そ
# 使命
# 使命感
# 使役
# 使徒
# 使用
# 使用上
# 使用中
# 使用人
# 使用例
# 使用感
# 使用料
# 使用時
# 使用法
# 使用環境
# 使用者
# 使用許諾
# 使用量
# 使用頻度
# 使節
# 使者
# 使途
侃 かん あきら ただし
侃々諤々 かんかんがくがく
來住 きし
例 ためし れい
例え たとえ
# 例えば
# 例会
# 例外
# 例外なく
# 例外処理
# 例外的
# 例年
# 例文
# 例月
# 例示
# 例解
# 例証
# 例題
侍 さむらい じ
侍っ はべっ
侍ら はべら
# 侍らかさ
# 侍らかし
# 侍らかす
# 侍らかせ
# 侍らかそ
侍り はべり
侍る はべる
侍れ はべれ
侍ろ はべろ
# 侍医
# 侍女
# 侍従
侑子 ゆうこ
侑広 ゆうこう
侑里 ゆり
侘びし わびし
供 きょう とも く
供え そなえ
# 供与
# 供出
# 供卵
# 供子
# 供宴
# 供役
# 供応
供物 くもつ
# 供用
# 供給
# 供給増
# 供給減
# 供給源
# 供給網
# 供血
# 供覧
# 供託
# 供述
# 供養
依 い
依っ よっ
依ら よら
依り より
依る よる
依れ よれ
依ろ よろ
依利子 えりこ
依子 よりこ
# 依存
# 依存度
# 依存心
# 依存性
# 依存症
# 依存的
依怙地 いこじ
依怙贔屓 えこひいき
# 依拠
# 依然
# 依然として
依理子 えりこ
依田 よだ よりた
依藤 よりふじ
# 依託
依里 えり より
# 依里子
# 依頼
# 依頼人
# 依頼先
# 依頼状
# 依頼者
# 依願
侠 きょう
侠客 きょうかく
# 侠気
価 あたい か
# 価値
# 価値判断
# 価値観
# 価格
# 価格差
# 価格帯
# 価格的
# 価格表
# 価格面
侭 まま
侮 ぶ
侮っ あなどっ
侮ら あなどら
侮り あなどり
侮る あなどる
侮れ あなどれ
侮ろ あなどろ
# 侮蔑
# 侮蔑的
# 侮辱
# 侮辱的
侯 こう
侵 しん
侵さ おかさ
侵し おかし
侵す おかす
侵せ おかせ
侵そ おかそ
# 侵入
# 侵入者
# 侵出
# 侵害
# 侵攻
# 侵攻中
侵犯 しんぱん
# 侵略
# 侵蝕
# 侵食
侶 りょ
便 びん べん
便り たより
# 便乗
# 便利
# 便利屋
# 便器
# 便宜
# 便宜上
# 便宜的
# 便意
# 便所
# 便数
便法 べんぽう
# 便益
便秘 べんぴ
便箋 びんせん
# 便覧
係 かかり がかり けい
係っ かかっ
係ら かから
# 係り
# 係り受け
# 係り結び
係る かかる
係れ かかれ
係ろ かかろ
係わっ かかわっ
係わら かかわら
係わり かかわり
係わる かかわる
係われ かかわれ
係わろ かかわろ
# 係争
# 係争中
# 係員
# 係官
# 係数
# 係留
# 係累
係結 かかりむすび
# 係長
促 そく
促さ うながさ
促し うながし
促す うながす
促せ うながせ
促そ うながそ
# 促成
# 促進
# 促音
# 促音便
俄 にわか が
# 俄然
俊 しゅん とし すぐる じゅん
俊一 としかず
# 俊一朗
# 俊一郎
俊三 しゅんぞう
俊三郎 しゅんざぶろう
# 俊之
# 俊也
俊二 しゅんじ
# 俊二郎
# 俊亮
俊仁 としひと
# 俊介
# 俊伸
# 俊作
# 俊保
# 俊信
# 俊光
# 俊六
# 俊典
# 俊則
俊剛 としたけ
# 俊勝
# 俊匡
# 俊博
# 俊史
# 俊和
# 俊哉
# 俊喜
# 俊太
# 俊太郎
# 俊夫
# 俊子
俊孝 としたか
俊季 としすえ
# 俊宏
# 俊宗
俊宣 としのり
俊實 としみ
# 俊平
# 俊幸
# 俊康
# 俊彦
俊彰 としあき
# 俊影
# 俊徳
俊忠 としただ
# 俊憲
俊成 しゅんぜい としなり
# 俊才
# 俊敏
# 俊文
# 俊明
# 俊春
俊昭 としあき
# 俊晶
俊朗 としあき
# 俊樹
# 俊正
# 俊永
俊治 としはる
俊法 としのり
# 俊浩
俊満 としみつ
俊生 としお
# 俊男
# 俊秀
俊章 としあき
# 俊策
# 俊範
# 俊紀
俊美 としはる
# 俊義
# 俊英
# 俊行
# 俊規
俊賢 としかた
# 俊足
# 俊輔
# 俊輝
# 俊郎
# 俊重
# 俊雄
俊順 としむね
俊頼 としより
俎 まないた
俎上 そじょう
俗 ぞく
# 俗っぽ
# 俗に
# 俗世間
# 俗人
俗化 ぞっか
# 俗塵
# 俗字
# 俗悪
俗曲 ぞっきょく
# 俗流
# 俗物
# 俗称
# 俗習
# 俗語
# 俗説
# 俗論
# 俗謡
俘囚 ふしゅう
保 たもつ ほ ほう やす やすし
保た たもた もた
保ち たもち もち
保っ たもっ もっ
保つ もつ
保て たもて もて
保と たもと もと
# 保之
# 保井
保仁 やすひと
保住 ほずみ
# 保健
# 保健婦
# 保健学部
# 保健室
# 保健所
# 保光
# 保全
# 保内
# 保冷
# 保則
# 保博
保原 ほばら
# 保司
# 保吉
# 保土ヶ谷
# 保坂
# 保夫
# 保奈美
# 保子
# 保存
# 保存力
# 保存料
# 保存法
# 保存液
# 保存版
# 保存用
# 保存食
保孝 やすたか
# 保守
# 保守之介
# 保守派
# 保守的
# 保守系
# 保安
# 保宏
# 保定
# 保崎
# 保川
# 保己一
# 保年
保延 ほのべ
# 保彦
# 保志
# 保志場
# 保恵
保成 やすなり
# 保持
# 保明
# 保月
# 保有
# 保木本
# 保枝
保業 やすのぶ
# 保樹
# 保次
# 保母
# 保永
保治 やすはる
# 保温
# 保温力
# 保理江
保生 やすお
# 保田
# 保男
# 保留
# 保留地
# 保科
保立 ほたて
# 保管
# 保線
# 保育
# 保育器
# 保育園
# 保育所
# 保臣
保良 やすら
# 保菌
# 保裕
# 保証
# 保証人
# 保証書
# 保証金
# 保護
# 保護国
# 保護材
# 保護法
# 保護者
# 保護者会
# 保護色
# 保護領
# 保谷
# 保身
# 保輝
# 保釈
# 保険
# 保険証
# 保険金
# 保障
# 保雄
# 保革
# 保養
# 保養中
# 保養先
# 保養地
# 保養所
信 まこと しん のぶ
# 信じ
# 信じこま
# 信じこみ
# 信じこむ
# 信じこめ
# 信じこも
# 信じこん
# 信じ込ま
# 信じ込み
# 信じ込む
# 信じ込め
# 信じ込も
# 信じ込ん
# 信一
# 信一郎
信三 しんぞう
信乃 しの
# 信久
# 信之
# 信也
信二 しんじ のぶじ
# 信二郎
# 信人
# 信介
# 信仰
# 信任
# 信任状
# 信作
# 信元
# 信光
# 信克
信公 のぶたか
# 信勝
信包 のぶかね
# 信博
# 信原
# 信友
# 信号
# 信号旗
# 信号機
# 信号音
信司 しんじ
# 信吉
# 信君
# 信吾
# 信和
# 信哉
# 信国
信基 のぶとも
信天翁 あほうどり
信太 しだ しんだ
# 信太郎
信夫 しのぶ
信奉 しんぽう
# 信好
# 信子
信孝 のぶたか
# 信学技法
# 信学論
# 信守
# 信宏
# 信宗
信実 のぶざね
# 信宮
信尚 のぶたか
# 信尾
# 信州
# 信市
# 信年
# 信幸
信広 のびひろ
# 信康
# 信弘
# 信彦
信彰 のぶあき
信征 のぶまさ
# 信徒
信心 しんじん
# 信心深
信志 しんじ
信応 のぶまさ
信忠 のぶただ
# 信念
信憑 しんぴょう
# 信憑性
信成子 しなこ
# 信房
信教 のぶのり
# 信昌
# 信明
# 信春
信昭 のぶあき
信晴 ときはる
信有 のぶあり
# 信望
# 信条
信楽 しがらき
# 信次
# 信江
信治 のぶはる
信澄 のぶずみ
信濃 しなの
# 信玄
信生 のぶお
# 信用
# 信用性
信田 しだ
# 信男
# 信盛
# 信秀
# 信管
信純 のぶずみ
# 信綱
# 信緒
# 信繁
# 信美
# 信義
信者 しんじゃ
# 信良
# 信芳
# 信茂
信蕃 のぶしげ
# 信虎
# 信行
# 信裕
信西 しんざい
信親 のぶちか
# 信託
# 信託銀行
# 信認
信貴 しぎ のぶたか
# 信賀
信賢 のぶかた のぶたか
# 信越
# 信輔
# 信道
信郎 のぶお
# 信金
# 信長
# 信隆
信雄 のぶかつ
信頼 のぶより
# 信頼度
# 信頼性
# 信頼感
# 信高
俣 また
俤 てい
修 おさむ しゅう
修まっ おさまっ
修まら おさまら
修まり おさまり
修まる おさまる
修まれ おさまれ
修まろ おさまろ
修め おさめ
修一 しゅいち
# 修一郎
修三 しゅうぞう
修久 のぶひさ
# 修也
# 修了
# 修了前
# 修了式
# 修了後
# 修了時
修二 しゅうじ しゅじ
# 修介
# 修作
修史 おさふみ しゅうじ
修司 しゅうじ
# 修吉
# 修吾郎
修善寺 しゅぜんじ
# 修士
# 修士号
# 修士課程
# 修好
# 修子
# 修学
# 修学旅行
修就 ながたか
# 修平
修弘 のぶひろ ながひろ
# 修得
# 修復
# 修復中
# 修整
# 修業
# 修次
# 修正
# 修正予算
# 修正案
# 修正版
# 修武
# 修治
# 修理
# 修理中
# 修理代
# 修理屋
# 修理工
# 修理店
# 修理費
# 修築
# 修練
# 修繕
# 修繕費
修羅 しゅら
# 修羅場
修美 おさみ
修芳 のぶよし
修行 しゅぎょう
# 修行中
# 修論
# 修身
# 修辞
# 修辞学
# 修辞法
# 修辞的
# 修道
# 修道会
# 修道士
# 修道女
# 修道院
# 修飾
# 修飾句
# 修飾子
# 修飾語
# 修飾部
# 修養
俯か うつむか
俯き うつむき
俯く うつむく
俯け うつむけ
俯こ うつむこ
俯せ うつぶせ
俯瞰 ふかん
俯角 ふかく
俳 はい
# 俳人
# 俳優
# 俳句
# 俳壇
俳諧 はいかい
俵 たわら ひょう
俵士 ひょうじ
# 俵太
# 俵谷
俸 ほう
# 俸給
俺 おれ
# 俺たち
# 俺達
倉 くら そう
# 倉ヶ崎
# 倉上
# 倉之介
# 倉井
# 倉元
# 倉光
# 倉原
# 倉吉
# 倉地
倉垣 くらがき
# 倉富
# 倉屋
# 倉岡
# 倉岳
# 倉島
# 倉川
# 倉庫
倉持 くらもち
# 倉敷
# 倉智
# 倉本
# 倉林
# 倉橋
# 倉永
# 倉沢
倉淵 くらぶち
# 倉片
# 倉田
# 倉知
# 倉石
# 倉藤
# 倉見
# 倉谷
# 倉部
# 倉重
個 こ か
個々 ここ
# 個々人
# 個人
# 個人主義
# 個人差
# 個人用
# 個人的
# 個体
# 個体差
# 個体発生
# 個別
# 個別化
# 個別性
# 個室
# 個展
# 個性
# 個性派
# 個性的
# 個所
# 個数
個飼い こがい
倍 ばい
# 倍加
# 倍増
# 倍数
# 倍率
倍田 ますだ
倍男 ますお
# 倍精度
# 倍速
# 倍音
# 倍額
倒 とう
倒さ たおさ
倒し たおし
倒す たおす
倒せ たおせ
倒そ たおそ
倒れ たおれ だおれ
# 倒壊
# 倒幕
# 倒木
# 倒潰
# 倒産
# 倒立
# 倒置
# 倒置法
# 倒錯
# 倒錯的
# 倒閣
倖 こう さち ゆき
候 こう そうろう
# 候文
# 候爵
# 候補
# 候補地
# 候補数
# 候補生
# 候補者
借 しゃく
借り かり
# 借り上げ
# 借り入れ
# 借り切っ
# 借り切ら
# 借り切り
# 借り切る
# 借り切れ
# 借り切ろ
# 借り受け
# 借り手
# 借り越さ
# 借り越し
# 借り越す
# 借り越せ
# 借り越そ
借入 かりいれ
# 借入れ
# 借入金
# 借地
# 借地権
# 借字
借家 しゃっか
借方 かりかた
借景 しゃっけい
借款 しゃっかん
# 借用
借腹 かりばら
# 借覧
# 借財
借金 しゃっきん
倣 ほう
倣い ならい
倣う ならう
倣え ならえ
倣お ならお
倣っ ならっ
倣わ ならわ
値 あたい ち ね
# 値上がり
# 値上げ
# 値下がり
# 値下げ
# 値切っ
# 値切ら
# 値切り
# 値切る
# 値切れ
# 値切ろ
# 値動き
# 値千金
# 値域
# 値崩れ
# 値幅
値引き ねびき
# 値打ち
# 値札
# 値段
# 値段表
値踏み ねぶみ
# 値頃
# 値頃感
倦 けん
倦ま あぐま
倦み あぐみ
倦む あぐむ
倦め あぐめ
倦も あぐも
倦ん あぐん
# 倦怠
# 倦怠感
# 倦怠期
倨傲 きょごう
# 倪淑君
倫 りん ひとし
# 倫一郎
倫久 ともひさ
倫之 のりゆき
# 倫之介
倫也 ともや
# 倫太郎
倫夫 みちお
倫子 のりこ みちこ ともこ ひろこ
倫彦 みちひこ ともひこ
倫敦 ろんどん
倫明 ともあき
倫正 のりまさ
倫江 みちえ
倫洋 みちひろ
# 倫理
# 倫理上
# 倫理学
# 倫理性
# 倫理的
# 倫理観
# 倫理面
倫生 みちる
# 倫社
倫義 のりよし
倫郎 ともお
倭 わ やまと
倶 く ぐ
倶往 ともみち
倶楽部 くらぶ
倶知安 くっちゃん
倹 けん
# 倹約
# 倹素
偉 えら い
# 偉ぶっ
# 偉ぶら
# 偉ぶり
# 偉ぶる
# 偉ぶれ
# 偉ぶろ
# 偉丈夫
# 偉人
# 偉大
# 偉容
# 偉才
# 偉方
# 偉業
偉織 いおり
# 偉観
偏 へん
偏っ かたよっ
偏ら かたよら
偏り かたより
偏る かたよる
偏れ かたよれ
偏ろ かたよろ
偏倚 へんい
# 偏光
# 偏向
# 偏在
# 偏執
# 偏執狂
# 偏奇
# 偏屈
# 偏差
# 偏差値
# 偏微分
# 偏狭
# 偏見
# 偏角
# 偏重
# 偏食
偕成社 かいせいしゃ
停 てい
停め とめ
# 停学
# 停戦
# 停止
# 停止前
# 停止後
# 停止線
# 停泊
# 停滞
# 停留
# 停留場
# 停留所
# 停職
# 停車
# 停車駅
# 停電
健 けん たけし やすし
健やか すこやか
# 健一
# 健一郎
健三 けんぞう
健三郎 けんざぶろう
健久 たけひさ
健之 けんじ
# 健也
健二 けんじ
# 健二朗
# 健二郎
# 健五
健人 たけひと けんと
# 健介
健伸 たけのぶ
# 健作
健保 けんぽ
# 健児
# 健全
# 健全化
# 健全性
健典 たけのり
# 健勝
健博 たけひろ
健史 けんじ
健司 けんじ
# 健吉
# 健吾
健啖 けんたん
# 健啖家
健嗣 けんじ
# 健在
# 健士
# 健士郎
健大 たけひろ
# 健太
# 健太朗
# 健太郎
健夫 たけお
健寿 けんじ
# 健常
# 健常者
健平 けんぺい
健幸 たけゆき
# 健康
# 健康体
# 健康保険
# 健康的
# 健康美
# 健康診断
# 健弥
健彦 たけひこ かつひこ
# 健心
健志 けんじ
# 健忘
# 健忘症
# 健悟
# 健悦
# 健昌
健昭 たけあき
# 健朗
健樹 たけき
# 健次
# 健次郎
健気 けなげ
# 健治
# 健治郎
健洋 たけひろ
健生 たけお
健男 たけお
# 健祐
# 健羨
# 健聴
# 健脚
# 健自
# 健蔵
健裕 たけひろ
健賢 たけのり
# 健輔
# 健郎
# 健闘
健雄 たけお
健雅 たけのり
偲 さい し しのぶ
偲ば しのば
偲び しのび
# 偲ぶ
偲べ しのべ
偲ぼ しのぼ
偲ん しのん
側 かわ がわ そば そく
# 側め
# 側室
側溝 そっこう
# 側目
# 側線
# 側聞
# 側視
側近 そっきん
# 側鎖
# 側面
# 側面図
# 側頭葉
偵 さだ てい
# 偵察
# 偵察機
偶 ぐう
# 偶像
# 偶像化
# 偶因
# 偶数
# 偶然
# 偶然性
# 偶然的
# 偶発
# 偶発的
偽 ぎ にせ
偽っ いつわっ
偽ら いつわら
偽り いつわり
偽る いつわる
偽れ いつわれ
偽ろ いつわろ
# 偽作
# 偽名
# 偽善
# 偽善的
# 偽善者
# 偽悪
# 偽情報
# 偽書
# 偽札
# 偽物
# 偽称
# 偽者
# 偽装
# 偽証
# 偽証罪
# 偽造
傀儡 かいらい くぐつ
傅 でん
傅か かしずか
傅き かしずき
傅く かしずく
傅け かしずけ
傅こ かしずこ
傅三郎 でんざぶろう
傍 ぼう そば わき
傍ら かたわら
# 傍受
# 傍注
# 傍点
傍目 はため
# 傍系
# 傍線
# 傍聴
# 傍聴人
# 傍聴席
# 傍聴者
# 傍若無人
# 傍観
# 傍観者
# 傍証
傍迷惑 はためいわく
傑 すぐる けつ
傑作 けっさく
# 傑作選
# 傑作集
傑出 けっしゅつ
傑将 まさかつ
傑雄 たけお
傘 かさ からかさ さん
# 傘下
# 傘寿
備 び
備え そなえ
# 備え付け
備わっ そなわっ
備わら そなわら
備わり そなわり
備わる そなわる
備われ そなわれ
備わろ そなわろ
備中 びっちゅう
# 備前
# 備品
備後 びんご
# 備忘録
# 備考
# 備考欄
# 備蓄
# 備蓄米
# 備蓄量
催 さい
催さ もよおさ
催し もよおし
# 催し物
催す もよおす
催せ もよおせ
催そ もよおそ
# 催事場
# 催促
# 催告
# 催奇
# 催涙
# 催涙弾
# 催淫
# 催眠
# 催眠性
# 催眠法
# 催眠術
傭 よう
# 傭兵
傲寒 ごうかん
傲岸 ごうがん
傲慢 ごうまん
傲然 ごうぜん
傳田 でんだ
債 さい
# 債券
# 債務
# 債権
# 債権者
傷 きず しょう
# 傷つか
# 傷つき
# 傷つく
# 傷つけ
# 傷つこ
傷ま いたま
傷み いたみ
傷む いたむ
傷め いため
傷も いたも
# 傷もの
傷ん いたん
# 傷付け
# 傷口
# 傷害
# 傷心
# 傷物
# 傷病
# 傷病兵
# 傷痕
# 傷跡
傾 けい
傾か かたむか
傾が かしが
傾き かたむき
傾ぎ かしぎ
傾く かたむく
傾ぐ かしぐ
傾け かたむけ
傾げ かしげ
傾こ かたむこ
傾ご かしご
# 傾倒
# 傾向
傾城 けいせい
# 傾斜
# 傾斜地
# 傾斜度
# 傾斜角
# 傾注
# 傾聴
僅 きん
僅か わずか
# 僅少
# 僅差
働 どう
働か はたらか
働き はたらき
# 働きかけ
働く はたらく
働け はたらけ
働こ はたらこ
像 ぞう
僑 きょう
僕 しもべ ぼく
# 僕たち
# 僕ら
# 僕等
# 僕達
僚 りょう
# 僚艦
僥倖 ぎょうこう
僧 そう
# 僧上
# 僧侶
# 僧服
# 僧院
僭 せん
# 僭称
# 僭越
僻 へき
僻ま ひがま
僻み ひがみ
僻む ひがむ
僻め ひがめ
僻も ひがも
僻ん ひがん
# 僻地
# 僻村
# 僻論
# 僻遠
儀 ぎ
儀仗 ぎじょう
# 儀仗兵
儀保 ぎぼ
# 儀典
儀子 のりこ
# 儀式
# 儀我
# 儀礼
儀邦 よしくに
# 儀間
億 おく
# 億万
# 億万長者
億劫 おっくう
億計 おけ
儒 じゅ
儘 まま
儚 はかな
# 儚ま
# 儚み
# 儚む
# 儚め
# 儚も
# 儚ん
償 しょう
償い つぐない
償う つぐなう
償え つぐなえ
償お つぐなお
償っ つぐなっ
償わ つぐなわ
# 償却
# 償還
# 償金
優 ゆう まさる すぐる
優し やさし
優っ まさっ
優ら まさら
優り まさり
# 優る
優れ すぐれ まされ
優ろ まさろ
優一 ゆいち
優之 まさゆき
優予 まさよ
# 優位
# 優位性
# 優作
優佳 ゆか
# 優佳子
# 優佳里
# 優先
# 優先度
# 優先権
# 優先的
# 優先順位
# 優劣
# 優勝
# 優勢
優史 まさふみ
優夫 まさお
# 優奈
優子 ゆこ
優季史 ゆきちか
優希 ゆき
優形 やさがた
# 優待
# 優性
優恵 ゆえ
# 優柔不断
優梨 ゆり
優江 まさえ よしえ
# 優生
# 優生学
優男 やさおとこ
# 優秀
# 優秀作
# 優秀性
# 優秀者
# 優秀賞
# 優等
# 優等生
優紀 ゆき
# 優紀子
優美 ゆみ まさみ
# 優美子
# 優良
# 優艶
優花 ゆか
# 優貴
# 優起
# 優越
# 優越性
# 優越感
# 優越的
# 優輝
# 優遇
優里 ゆり
# 優里香
# 優雅
優香 ゆか
# 優香子
# 優駿
儲 ちょ もうけ
儲かっ もうかっ
儲から もうから
儲かり もうかり
儲かる もうかる
儲かれ もうかれ
儲かろ もうかろ
# 儲け
允 いん のぶ まこと
允恭 いんぎょう
允文 よしぶみ
元 はじめ もと げん がん
元々 もともと
# 元どおり
# 元も子もな
# 元一
# 元三郎
# 元乃
# 元之
# 元之助
# 元也
# 元二
# 元人
# 元住吉
# 元佐
# 元信
# 元値
# 元凶
元利 もとよし
# 元史
# 元号
# 元司
# 元吉
# 元哉
# 元喜
# 元型
# 元基
# 元売り
# 元太
# 元夫
元奎 ゆんけい
元子 はるこ
# 元宗
元就 もとなり
# 元山
# 元岡
# 元島
# 元帥
# 元帳
# 元常
# 元年
# 元康
# 元弥
元彦 もとやす
元彪 ゆんぴょう
# 元徳
元忠 もとただ
# 元恵
元成 もとなり
元手 もとで
# 元日
# 元旦
# 元明
# 元春
元昭 もとあき
元晴 もとはる
元曄 もとあき
# 元木
# 元本
# 元来
# 元松
# 元栓
# 元橋
# 元次
# 元正
# 元気
# 元気者
元治 もとはる
元法 もとのり
元洋 もとひろ
# 元清
# 元田
元知 もととも
# 元祐
# 元祖
# 元禄
# 元秀
元稔 ちかとし
# 元種
# 元素
# 元素記号
元結 もとゆい
元続 もとつぐ
# 元綱
元締め もとじめ
# 元繁
# 元美
# 元華
# 元裕
元親 もとちか
# 元記事
# 元請け
# 元谷
# 元通り
# 元邦
# 元金
# 元長
# 元首
兄 あに きょう けい にい
# 兄さ
# 兄さん
兄妹 きょうだい
# 兄弟
# 兄貴
充 みつる じゅう
充たさ みたさ
充たし みたし
充たす みたす
充たせ みたせ
充たそ みたそ
充ち みち
充て あて
充之 あつし みつゆき
充代 みちよ みつよ
充伸 みつのぶ
充佳 みか
# 充分
充功 みつよし
充史 あつし
充司 あつし
# 充填
充子 のぶこ みつこ あつこ
充孝 みつたか
充宏 みつひろ
# 充実
# 充実化
# 充実感
充弘 みつひろ あつひろ
# 充当
充彦 みつひこ
充文 あつふみ
充明 みつあき
充晴 みちはる みつはる
充枝 みつえ
充治 みつはる
充洋 みつひろ
充浩 みつひろ
# 充満
充照 みつてる
充生 あつお
# 充用
充男 みつお
充秀 みつひで
# 充血
# 充足
# 充足感
充重子 みえこ
充隆 みつたか
# 充電
# 充電池
兆 ちょう
兆さ きざさ
兆し きざし
兆す きざす
兆せ きざせ
兆そ きざそ
# 兆候
# 兆民
# 兆治
兇 きょう
# 兇器
# 兇悪
# 兇悪化
# 兇悪犯
先 さき せん
先々 さきざき
先々月 せんせんげつ
先々週 せんせんしゅう
# 先ごろ
先ず まず
# 先だって
# 先っちょ
# 先っぽ
# 先に
# 先ほど
# 先ん
# 先んじ
# 先カンブリア時代
# 先人
# 先代
# 先任
# 先住
# 先住権
# 先住民
# 先住民族
# 先例
# 先入
# 先入主
# 先入見
# 先入観
# 先公
# 先制
# 先制点
# 先刻
# 先勝
# 先取
先取り さきどり
# 先取権
# 先史
# 先回り
# 先夜
# 先天
# 先天的
# 先学
# 先客
# 先導
# 先尾翼
# 先崎
# 先延ばし
# 先手
# 先攻
先斗町 ぽんとちょう
先方 せんぽう
# 先日
# 先月
# 先月中
# 先月分
# 先月号
# 先月末
# 先様
# 先決
# 先渡し
# 先物
# 先生
# 先発
# 先発隊
# 先着
先祖 せんぞ
# 先祖伝来
先祖返り せんぞがえり
# 先程
# 先立た
# 先立ち
# 先立っ
# 先立つ
# 先立て
# 先立と
# 先端
# 先約
先細り さきぼそり
先般 せんぱん
# 先行
# 先行き
# 先見
# 先見性
# 先見的
# 先覚
先触れ さきぶれ
# 先読み
先負 せんぶ せんぷ せんまけ
先走っ さきばしっ
先走ら さきばしら
先走り さきばしり
先走る さきばしる
先走れ さきばしれ
先走ろ さきばしろ
先輩 せんぱい
# 先輩方
# 先輩格
# 先述
# 先送り
先途 せんど
# 先週
# 先週号
# 先週末
# 先進
# 先進国
# 先進性
# 先進的
先達 せんだつ
# 先鋭
# 先鋭化
# 先陣
# 先鞭
# 先頃
# 先頭
# 先駆
先駆け さきがけ
# 先駆的
# 先駆者
# 先験的
光 ひかり あきら ひかる みつ こう
光っ ひかっ
光ら ひから
# 光り
# 光る
光れ ひかれ
光ろ ひかろ
# 光ディスク
# 光ファイバ
# 光ファイバー
光一 みつかず
# 光一郎
光三郎 みつざぶろう
# 光世
# 光久
# 光之
# 光也
光二 こうじ
# 光井
# 光仁
# 光代
# 光伸
# 光保
# 光信
# 光分
# 光利
# 光則
# 光化学
# 光博
# 光厳
# 光友
# 光史
光右衛門 こうえもん
光司 こうじ みつじ
# 光合成
# 光吉
光哲 みつのり
光啓 みつよし
# 光嘉
光圀 みつくに
# 光圧
# 光大
# 光太郎
# 光夫
光央 みつお
# 光子
光孝 みつたか
# 光学
# 光学式
# 光学的
# 光学系
# 光宏
# 光定
# 光家
# 光山
光岡 てるおか
# 光帆
# 光平
# 光年
# 光幸
# 光幾
# 光広
# 光度
# 光延
# 光弘
# 光彦
光彰 みつあき
# 光恵
# 光憲
光成 みつなり
# 光政
# 光敏
光教 みつのり
# 光明
# 光春
光昭 みつあき
# 光景
光晴 みつはる
# 光本
# 光束
# 光枝
# 光栄
# 光格
光樹 てるき
# 光次
# 光次郎
# 光正
# 光武
# 光永
# 光沢
光治 みつはる
# 光波
光洋 みつひろ
# 光浩
# 光源
光澤 みつざわ
# 光瀬
# 光点
# 光熱
# 光熱費
光理 みつただ
# 光瑞
光生 みつお てるお
# 光田
# 光男
# 光畑
# 光石
# 光磁気
# 光祐
# 光秀
# 光秒
光章 みつあき
# 光範
# 光素子
# 光紹
# 光線
# 光線兵器
# 光線砲
# 光線銃
光羊 みつよ
光美 てるみ
# 光義
光良 てるよし
光芒 こうぼう
# 光芳
# 光行差
# 光裕
光親 みつちか
光詔 みつのり
# 光谷
# 光貞
# 光輝
光輪子 みわこ
# 光通信
# 光速
# 光速度
# 光邦
# 光重
# 光量
# 光量子
# 光陰
# 光雄
# 光電
# 光電管
# 光高
克 かつ こく まさる
# 克久
# 克之
# 克也
克亘 かつのぶ
克仁 かつひと
# 克代
# 克佳
# 克俊
# 克典
# 克利
# 克則
# 克博
# 克史
克司 かつじ
# 克哉
# 克夫
克子 よしこ
# 克宏
# 克実
克寿 かつとし
克展 かつのり
克己 こっき
# 克巳
# 克幸
克式 かつのり
# 克弘
# 克弥
# 克彦
# 克徳
# 克志
克恭 かつやす
克成 かつしげ かつなり
# 克政
# 克文
# 克昌
克明 よしあき
# 克服
# 克治
克洋 かつひろ
# 克浩
# 克直
克知 よしちか
# 克秀
# 克美
# 克義
克臣 かつみ
# 克至
# 克行
# 克衛
# 克規
克豪 かつひで
# 克郎
# 克隆
# 克雄
克高 よしたか
免 めん
免れ まぬかれ まぬがれ
# 免出
# 免状
# 免田
# 免疫
# 免疫力
# 免疫学
# 免疫系
# 免租
# 免税
# 免罪
# 免罪符
# 免職
# 免許
# 免許制
# 免許皆伝
# 免許証
# 免訴
# 免責
# 免除
# 免震
兎 うさぎ と
# 兎に角
# 兎子尾
児 じ に
児子 にご
児山 こやま
児島 こじま
児嶋 こじま
# 児戯
児湯 こゆ
児玉 こだま
# 児童
# 児童数
# 児童書
児藤 ことう
児西 こにし
兒島 こじま
兒野 ちごの
党 とう
# 党争
# 党内
# 党員
# 党派
# 党議
# 党費
# 党首
兜 かぶと とう
入 にゅう
入っ いっ はいっ
入ら いら はいら
入り いり はいり
# 入り乱れ
# 入り交じっ
# 入り交じら
